"~id","~start_node_id","~end_node_id","~relationship_type","percentage"
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152923703630102528","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:6","HEADQUARTERED_IN",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152924803141730307","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:3","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","FOUNDED",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152921504606846976","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1","BELONGS_TO",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152922604118474752","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:5","HAS_STOCK",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152925902653358084","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:4","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","LEADS",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152927002164985856","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:7","OWNS","33%"
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1155173304420532224","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:2","BELONGS_TO",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1155178801978671104","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:0","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:8","OWNS","63%"
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152921504606846990","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:14","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1","BELONGS_TO",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152921504606846991","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:15","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1","BELONGS_TO",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152921504606846988","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:12","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:2","BELONGS_TO",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152921504606846989","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:13","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:2","BELONGS_TO",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152923703630102537","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:9","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:6","HEADQUARTERED_IN",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152923703630102538","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:10","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:6","HEADQUARTERED_IN",
"5:51c7ceba-3710-4df4-b3b2-6b24d28682e1:1152923703630102539","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:11","4:51c7ceba-3710-4df4-b3b2-6b24d28682e1:6","HEADQUARTERED_IN",
